언어명,관광지명,구분,관광지명_한글,지번주소,도로명주소,경도,위도
영어권,Gyeongbokgung Palace (경복궁),역사관광지,경복궁,서울 종로구 세종로 1-1,서울 종로구 사직로 161,126.97689786832184,37.577613288258206
영어권,Bukchon Hanok Village (북촌한옥마을),역사관광지,북촌한옥마을,서울 종로구 가회동 30-2,서울 종로구 북촌로 53,126.98481245064092,37.581768153833444
영어권,Namdaemun Market (남대문시장),쇼핑,남대문시장,서울 중구 남창동 49-1,서울 중구 남대문시장4길 21,126.9776267740439,37.55918176072071
영어권,Banpo Bridge Rainbow Fountain (반포대교 달빛무지개분수),건축/조형물,반포대교 달빛무지개분수,서울 서초구 반포동 649-1,,126.9983938569846,37.512621958778794
영어권,Gwangjang Market (광장시장),쇼핑,광장시장,서울 종로구 예지동 2-1,서울 종로구 창경궁로 88,126.9989416227693,37.570033672535104
영어권,Starfield COEX Mall (스타필드 코엑스몰),쇼핑,스타필드 코엑스몰,서울 강남구 삼성동 159,서울 강남구 영동대로 513,127.05813242827703,37.51292301614309
영어권,Dongdaemun Design Plaza (동대문디자인플라자 (DDP)),산업관광지,동대문디자인플라자 (DDP,서울 중구 을지로7가 2-1,서울 중구 을지로 281,127.009911013917,37.5671843130818
영어권,Insa-dong (인사동),체험관광지,인사동,서울 종로구 관훈동 30-1,서울 종로구 인사동10길 11-4,126.985591616819,37.5745467832909
영어권,Namsan Seoul Tower (남산서울타워),건축/조형물,남산서울타워,서울 용산구 용산동2가 산 1-3,,126.98820799353979,37.55127433407266
영어권,Itaewon Shopping Street (이태원 쇼핑거리),체험관광지,이태원 쇼핑거리,,,,
영어권,Changdeokgung Palace Complex [UNESCO World Heritage] (창덕궁과 후원 [유네스코 세계문화유산]),역사관광지,창덕궁과 후원,서울 종로구 와룡동 2-71,서울 종로구 율곡로 99,126.99099697652187,37.579646947179526
영어권,Goto Mall - Gangnam Terminal Underground Shopping Center (고투몰 (강남터미널 지하도상가)),쇼핑,고투몰 (강남터미널 지하도상가,서울 서초구 잠원동 68-17,서울 서초구 신반포로 지하 200,127.0050521324991,37.50622022337287
영어권,Cheonggyecheon Stream (청계천),휴양관광지,청계천,서울 종로구 서린동 148,,126.978647068151,37.5691469686793
영어권,Starfield Library (별마당도서관),문화시설,별마당도서관,서울 강남구 삼성동 159-9,,127.06015941426635,37.510192859355016
영어권,Seoul Bongeunsa Temple (봉은사 (서울)),역사관광지,봉은사 (서울,서울 강남구 삼성동 73,서울 강남구 봉은사로 531,127.05771026736103,37.51551811418552
영어권,Mangwon Market (망원시장),쇼핑,망원시장,서울 마포구 망원동 414-8,,126.90626589039096,37.555885964724716
영어권,Hongdae (Hongik University Street) (홍대),체험관광지,Hongik University Street,,,,
영어권,HiKR Ground (하이커 그라운드),문화시설,하이커 그라운드,서울 중구 다동 10,서울 중구 청계천로 40,126.981418201295,37.5685753051734
영어권,Myeong-dong (명동),체험관광지,명동,서울 중구 명동2가,,126.984901336292,37.5620769169639
영어권,Seoul Jogyesa Temple (조계사(서울)),역사관광지,조계사(서울,서울 종로구 수송동 44,서울 종로구 우정국로 55,126.98185608504004,37.57395881968132
영어권,Namsangol Hanok Village (남산골한옥마을),역사관광지,남산골한옥마을,서울 중구 필동2가 84-1,서울 중구 퇴계로34길 28,126.99443158318867,37.559311690784995
영어권,Majang Meat Market (마장 축산물시장),쇼핑,마장 축산물시장,서울 성동구 마장동 439-1,서울 성동구 마장로35길 68,127.04127141025155,37.57068418982381
영어권,Seoul Forest (서울숲),휴양관광지,서울숲,서울 성동구 성수동1가 678-1,,127.037617759165,37.5443222301513
영어권,Apgujeong Rodeo Street (압구정 로데오거리),체험관광지,압구정 로데오거리,서울 강남구 신사동 668-33,,127.039152029523,37.5267558230172
영어권,Yeouido Hangang Park (여의도한강공원),휴양관광지,여의도한강공원,서울 영등포구 여의도동 85,,126.93512931714196,37.52638860108943
영어권,Jongno 3(sam)-ga Jewelry District (종로3가 귀금속 전문상가),쇼핑,sam,서울 은평구 불광동 290-24,서울 은평구 통일로72길 3,126.924678519654,37.6162125027233
영어권,Changgyeonggung Palace (창경궁),역사관광지,창경궁,서울 종로구 와룡동 2-1,서울 종로구 창경궁로 185,126.995199911733,37.5794165384496
영어권,Itaewon Special Tourist Zone (이태원 관광특구),휴양관광지,이태원 관광특구,서울 용산구 한남동 737-50,서울 용산구 이태원로 211,126.997388675434,37.5349073364554
영어권,CAPO FOOTBALL STORE [Korea Quality] / 카포 풋볼 스토어 [한국관광 품질인증],쇼핑,,경기 의정부시 녹양동 157-5,경기 의정부시 녹양로 87,127.03404577,37.7585869602469
영어권,Shinsegae Department Store - Main Branch (신세계백화점 (본점)),쇼핑,신세계백화점 (본점,서울 중구 충무로1가 52-5,서울 중구 소공로 63,126.98108960513339,37.560948320099605
영어권,Hangang River Ferry Cruise (이랜드크루즈 (한강유람선)),휴양관광지,이랜드크루즈,잠실동 1-2,서울특별시 송파구 백제고분로 2 잠실 이크루즈,127.0818237826018,37.51870243276595
영어권,Leeum_ Samsung Museum of Art (삼성미술관 리움),문화시설,삼성미술관 리움,서울 용산구 한남동 742-1,서울 용산구 이태원로55길 60-16,126.99911744955163,37.53833657002706
영어권,Deoksugung Palace (덕수궁),역사관광지,덕수궁,서울 중구 정동 5-1,서울 중구 세종대로 99,126.974894754989,37.5655638710672
영어권,Lotte Department Store - Main Branch (롯데백화점 (본점)),쇼핑,롯데백화점 (본점,서울 중구 소공동 1,서울 중구 남대문로 81,126.98175414832635,37.564905601247865
영어권,Lotte World (롯데월드),휴양관광지,롯데월드,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240,127.09811980036908,37.51113059993883
영어권,Hangang River (한강),자연관광지,한강,서울 영등포구 여의도동,,126.947545050571,37.5250892160129
영어권,Hyundai I'PARK Mall (현대 아이파크몰),쇼핑,현대 아이파크몰,서울 용산구 한강로3가 40-999,서울 용산구 한강대로23길 55,126.96453276994514,37.52881667725366
영어권,Tosokchon Samgyetang (토속촌삼계탕),음식점,토속촌삼계탕,서울 종로구 체부동 85-1,서울 종로구 자하문로5길 5,126.971494461387,37.5777229294346
영어권,Seoul Plaza Ice Skating Rink (서울광장 스케이트장),육상 레포츠,서울광장 스케이트장,서울 중구 태평로1가 54-3,,126.97793380839202,37.56577441027002
영어권,Children’s Grand Park (서울 어린이대공원),휴양관광지,서울 어린이대공원,서울 광진구 능동 18,서울 광진구 능동로 216,127.08378909469191,37.55147044344215
영어권,Ssamzigil (쌈지길),체험관광지,쌈지길,서울 종로구 관훈동 38,서울 종로구 인사동길 44,126.984731319433,37.5743520602942
영어권,Dongdaemun Shopping Complex·Dongdaemun Shopping Town (동대문 종합시장·동대문 쇼핑타운),쇼핑,동대문 종합시장·동대문 쇼핑타운,종로6가 289-57,서울특별시 종로구 종로 272 동대문종합시장 신관,127.00762374954647,37.57040283922709
영어권,The War Memorial of Korea (전쟁기념관),문화시설,전쟁기념관,서울 용산구 용산동1가 8,서울 용산구 이태원로 29,126.9770880207577,37.53706844515933
영어권,Palace Royal Guard Changing Ceremony (수문장 교대의식),공연/행사,수문장 교대의식,,,,
영어권,Dongdaemun History & Culture Park (동대문역사문화공원),휴양관광지,동대문역사문화공원,서울 중구 을지로7가 112-3,서울 중구 을지로 지하 279,127.00900417014896,37.56566440553802
영어권,Lotte World Tower SEOUL SKY (롯데월드타워 서울스카이),건축/조형물,롯데월드타워 서울스카이,서울 송파구 신천동 29,서울 송파구 올림픽로 300,127.10254645284908,37.5125423170714
영어권,Gangnam (강남),체험관광지,강남,서울 강남구 삼성동 131,서울 강남구 선릉로100길 1,127.04892851392,37.5091105328378
영어권,Cheong Wa Dae (Blue House) (청와대),건축/조형물,Blue House,경기 수원시 영통구 이의동 1185-33,경기 수원시 영통구 웰빙타운로56번길 103-39,127.04162437423494,37.30917340212832
영어권,Lotte Duty Free Shop - Main Branch (롯데면세점 (본점)),쇼핑,롯데면세점 (본점,서울 중구 소공동 1,서울 중구 남대문로 81,126.98175415535835,37.56487676937092
영어권,Lotte World Tower & Mall (롯데월드타워&롯데월드몰),건축/조형물,롯데월드타워&롯데월드몰,서울 송파구 신천동 29,서울 송파구 올림픽로 300,127.104079482694,37.5136519138098
영어권,Samsung D’light (삼성 딜라이트),산업관광지,삼성 딜라이트,서울 강남구 삼성동 114-31,서울 강남구 선릉로108길 51,127.048273607815,37.5108082948102
영어권,Seodaemun Prison History Museum (서대문형무소역사관),문화시설,서대문형무소역사관,서울 서대문구 현저동 101,서울 서대문구 통일로 251,126.95631527553333,37.57450354008834
영어권,Bukhansan National Park (Seoul District) (북한산국립공원(서울)),자연관광지,Seoul District,서울 용산구 한남동 789-12,서울 용산구 한남대로42길 36,127.003159305463,37.5437272131616
영어권,Lotte World Shopping Mall (롯데월드 쇼핑몰),쇼핑,롯데월드 쇼핑몰,서울 송파구 잠실동 40,서울 송파구 올림픽로 212,127.096293705261,37.5106960167189
영어권,Sinsa-dong Garosu-gil Road (신사동 가로수길),체험관광지,신사동 가로수길,서울 강남구 신사동 534-19,서울 강남구 가로수길 43,127.02272940977892,37.520819816124934
영어권,Burdeng Children's Clothing Shopping Center (부르뎅 아동복),쇼핑,부르뎅 아동복,서울 중구 남창동 31-11,서울 중구 남대문시장8길 14,126.97850709779897,37.55990902882888
영어권,Gwanghwamun Square (광화문광장),휴양관광지,광화문광장,서울 종로구 세종로 1-68,,126.97691639601517,37.572602860810186
영어권,Samcheong-dong Street (삼청동길),체험관광지,삼청동길,서울 종로구 삼청동 산 2-1,,126.981743337459,37.5906452023744
영어권,Sungnyemun Gate (숭례문),역사관광지,숭례문,서울 중구 남대문로4가 29,서울 중구 세종대로 40,126.975313124237,37.5600030088843
영어권,Banpo Hangang Park (반포한강공원),휴양관광지,반포한강공원,서울 서초구 반포동 115-5,,126.99716104081192,37.51081992690844
영어권,Myeongdong Kyoja (명동교자),음식점,명동교자,서울 중구 명동2가 25-36,서울 중구 명동10길 29,126.98561429978552,37.56255453417897
영어권,Deoksugung Palace Royal Guard Changing Ceremony (덕수궁 왕궁수문장교대의식),공연/행사,덕수궁 왕궁수문장교대의식,,,,
영어권,COEX Aquarium (코엑스 아쿠아리움),휴양관광지,코엑스 아쿠아리움,서울 강남구 삼성동 159,서울 강남구 영동대로 513,127.05848344600409,37.513409385014874
영어권,National Museum of Korea (국립중앙박물관),문화시설,국립중앙박물관,서울 용산구 용산동6가 168-6,서울 용산구 서빙고로 137 국립중앙박물관,126.98021433380858,37.52383780397484
영어권,Ttukseom Hangang Park Sledding Hill (한강공원 뚝섬 눈썰매장),육상 레포츠,한강공원 뚝섬 눈썰매장,서울 광진구 자양동 112,,127.06694190913146,37.52999235289054
영어권,Blue Square (블루스퀘어),문화시설,블루스퀘어,서울 용산구 한남동 727-56,서울 용산구 이태원로 294,127.002548167462,37.5408611480276
영어권,Seochon Village (서촌마을),체험관광지,서촌마을,서울 종로구 통의동,,126.9731106965,37.578728818102
영어권,Olympic Park (올림픽공원),휴양관광지,올림픽공원,서울 송파구 방이동 88-3,서울 송파구 올림픽로 424,127.120812783275,37.5205340628851
영어권,Kukkiwon (World Taekwondo Headquarters) (국기원(세계태권도본부)),문화시설,국기원,서울 강남구 역삼동 635,서울 강남구 테헤란로7길 32 국기원,127.03029750081743,37.50195919515374
영어권,COEX Artium (코엑스아티움),문화시설,코엑스아티움,서울 강남구 삼성동 159-9,서울 강남구 영동대로 513,127.06154587656543,37.50994346786382
영어권,Hangang Moonlight Night Market (한강달빛야시장),공연/행사,한강달빛야시장,서울 서초구 반포동 115-5,서울 서초구 신반포로11길 40,126.997633808127,37.5113118857526
영어권,The Korea House (한국의집),음식점,한국의집,서울 중구 필동2가 80-2,서울 중구 퇴계로36길 10,126.994689569233,37.5601928777225
영어권,Myeongdong Cathedral (서울 명동성당),역사관광지,서울 명동성당,서울 중구 명동2가 1-1,서울 중구 명동길 74,126.98735609674071,37.56318453011765
영어권,Gwanghwamun Gate (광화문),역사관광지,광화문,서울 종로구 세종로 1-1,서울 종로구 사직로 161,126.97685309595215,37.57596445980707
영어권,Naksan Park (낙산공원),휴양관광지,낙산공원,서울 종로구 동숭동 산 2-10,서울 종로구 낙산길 41,127.007521763748,37.58056966858
영어권,Tongin Market (통인시장),쇼핑,통인시장,서울 종로구 통인동 10-3,서울 종로구 자하문로15길 18,126.96994796046572,37.580769707479256
영어권,Dongdaemun Stationery Store Street (동대문 문구완구거리),체험관광지,동대문 문구완구거리,서울 종로구 창신동 390-29,서울 종로구 종로52길 36,127.01444849541853,37.57123111690101
영어권,Seoul Gyeongdong Market (서울 경동시장),쇼핑,서울 경동시장,서울 동대문구 제기동 1019,서울 동대문구 고산자로36길 3,127.03913636936471,37.57903713704342
영어권,Nodeulseom Island (노들섬),체험관광지,노들섬,서울 용산구 이촌동 302-146,서울 용산구 양녕로 445,126.95803386590158,37.51766013568054
영어권,Lotte World Indoor Ice Skating Rink (롯데월드 아이스링크 (실내)),육상 레포츠,롯데월드 아이스링크 (실내,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240,127.098719571998,37.5113643612555
영어권,Noryangjin Fisheries Wholesale Market (노량진수산물도매시장),쇼핑,노량진수산물도매시장,서울 동작구 노량진동 334,서울 동작구 노들로 674,126.93777601640095,37.514766187527776
영어권,Yongsan ETLand (용산전자랜드),쇼핑,용산전자랜드,서울 용산구 한강로3가 16-9,서울 용산구 청파로 74,126.959287978065,37.5328712937995
영어권,Seoul Sports Complex (Jamsil Sports Complex) (서울종합운동장(잠실종합운동장)),육상 레포츠,서울종합운동장,서울 송파구 잠실동 10,서울 송파구 올림픽로 25 서울종합운동장,127.075940589715,37.5161987797456
영어권,Seoul Museum of Art (서울시립미술관(서소문본관)),문화시설,서울시립미술관(서소문본관,서울 중구 서소문동 37,서울 중구 덕수궁길 61,126.973790543874,37.5641076212639
영어권,Mario Outlet (마리오아울렛),쇼핑,마리오아울렛,서울 금천구 가산동 60-22,서울 금천구 디지털로 185,126.88713677551051,37.47807301962545
영어권,Riverside Spa Land (강변스파랜드),휴양관광지,강변스파랜드,서울 광진구 구의동 593-15,서울 광진구 구의강변로 45,127.091305810471,37.534886484466
영어권,Gwangjang Market Hanbok Shops (광장시장 한복매장),쇼핑,광장시장 한복매장,서울 종로구 관훈동 31,서울 종로구 인사동10길 5,126.985306432115,37.5741142706539
영어권,Seolleung and Jeongneung Royal Tombs [UNESCO World Heritage] (서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산]),역사관광지,서울 선릉과 정릉,서울 강남구 삼성동 135-4,서울 강남구 선릉로100길 1 선릉정릉,127.04892849392454,37.509079898687986
영어권,Deoksugung Stone Wall Path (덕수궁 돌담길),체험관광지,덕수궁 돌담길,서울 중구 정동 5-1,서울 중구 세종대로 지하 101,126.975664628917,37.564976582796
영어권,Jongmyo Shrine [UNESCO World Heritage] (종묘 [유네스코 세계문화유산]),역사관광지,종묘 [유네스코 세계문화유산],서울 종로구 훈정동 1-2,서울 종로구 종로 157,126.994863544656,37.5731337998335
영어권,Lotte Mall - Gimpo Airport Branch (롯데몰 김포공항점),쇼핑,롯데몰 김포공항점,서울 강서구 방화동 886,서울 강서구 하늘길 지하 77,126.803148162496,37.5633661796519
영어권,Insa-dong Antique Art Street (인사동 고미술거리),체험관광지,인사동 고미술거리,,,,
영어권,Charlotte Theater (샤롯데씨어터),문화시설,샤롯데씨어터,서울 송파구 잠실동 40-1,서울 송파구 올림픽로 240,127.09971395114385,37.51064272274346
영어권,Hello apM (헬로에이피엠),쇼핑,헬로에이피엠,서울 중구 을지로6가 18-35,서울 중구 장충단로 253,127.008140738255,37.5674907870025
영어권,Convention and Exhibition Center (COEX) (한국종합무역센터(코엑스)),문화시설,COEX,서울 강남구 삼성동 159,서울 강남구 영동대로 513,127.05882784390123,37.51266138067201
영어권,Cheongdam Fashion Street (청담패션거리),체험관광지,청담패션거리,서울 강남구 청담동,,127.044341653848,37.5254385255932
영어권,Namdaemun Ginseng Market (남대문인삼시장),쇼핑,남대문인삼시장,서울 중구 남대문로4가 3-3,서울 중구 남대문로 16,126.977526382785,37.560693974913
영어권,Baengnyeon Tojong Samgyetang (백년토종삼계탕),음식점,백년토종삼계탕,서울 종로구 가회동 170-3,서울 종로구 북촌로 41,126.98475155697945,37.58058424026075
영어권,Migliore - Dongdaemun Branch (밀리오레 (동대문점)),쇼핑,밀리오레 (동대문점,서울 중구 을지로6가 18-17,서울 중구 장충단로 263,127.00845774761,37.5681358776753
영어권,Inwangsan Mountain (인왕산),자연관광지,인왕산,서울 종로구 옥인동 산 3-39,,126.95784443609999,37.58489976333122
